# Quick Print matrix QP_001–QP_050 → existing or new Maestro flow (do not rename legacy QP_01/QPX_01 IDs)
MatrixID,Module,Priority,Test Scenario,Status,FlowFile,Notes
QP_036,Tag Search,P1,Search with invalid/non-existent tag,covered,quick-print/QPX_25 - Verify the application displays the No Tagged Photos message.yaml,
QP_037,Tag Search,P1,Submit empty search,new,quick-print/QP_037 - Submit empty search validation.yaml,
QP_038,Tag Search,P1,Search while offline,covered,quick-print/QP_16 - Tag search no internet.yaml,Also QPX_27
QP_039,Tag Search,P2,Retry after reconnect,new,quick-print/QP_039 - Retry tag search after reconnect.yaml,Requires network restore
QP_040,Permissions,P0,Deny photo permission,covered,quick-print/QPX_05 - Verify the Dont allow option on the Gallery permission popup.yaml,Also QP_07
QP_041,Permissions,P0,Grant permission from Settings,new,quick-print/QP_041 - Grant permission from Settings.yaml,
QP_042,Permissions,P1,Return without granting permission,new,quick-print/QP_042 - Return without granting permission.yaml,
QP_043,Sort,P1,Sort photos by Newest,covered,quick-print/QP_02 - Quick Print Gallery functionality.yaml,Also QPX_28
QP_044,Sort,P1,Sort photos by Oldest,covered,quick-print/QP_02 - Quick Print Gallery functionality.yaml,Also QP_17 QPX_28
QP_045,Fast Scroll,P2,Fast scroll in large gallery,covered,quick-print/QP_18 - Fast scroll mechanism.yaml,
QP_046,Fast Scroll,P2,Release fast scroll,covered,quick-print/QP_046 - Release fast scroll gallery responsive.yaml,Extends QP_18 scenario
QP_047,Empty State,P1,Open gallery with no local photos,new,quick-print/QP_047 - Open gallery with no local photos.yaml,Uses empty folder when available
QP_048,Empty State,P2,Add photos after empty state,manual,quick-print/QP_048 - Add photos after empty state.yaml,manual-only external photo add
QP_049,Error Handling,P1,Lose network during gallery refresh,new,quick-print/QP_049 - Lose network during gallery refresh.yaml,Offline during pull-to-refresh
QP_050,End-to-End,P0,Complete Quick Print flow to Print Preview,new,quick-print/QP_050 - Complete Quick Print flow to Print Preview.yaml,
